Size,  Brute-Force,  Sunday,  Rabin-Karp,  FSM,   KMP 
10000,0,0,156290,0,0
60000,312600,367700,322620,0,156310
110000,695270,680280,1474430,156310,186370
160000,1042930,836570,3071320,468890,749210
210000,1668050,1214310,5080830,498950,1313230
260000,1723130,1526910,7981980,614120,2234810
310000,2658580,2162140,10550500,870580,3016360
360000,3157500,3332660,14328050,1339450,3384050
410000,3525180,4274330,19280590,1506400,4185620
460000,4446740,5317250,23626340,1662700,5408680
510000,5140900,6819080,28611990,1752780,6446690
560000,5977530,8526110,34754860,1909050,7646070
610000,7303100,9955480,41310760,2226710,9157940
660000,8875080,11291030,47407090,2583180,11675300
710000,10349620,12495450,55121900,3252190,13641190
760000,12085450,13644720,64055760,4027500,14850710
810000,13284690,15802600,72822200,4767970,16420280
860000,14769340,16848140,80128010,5739710,21263410
910000,15978690,18178590,90340180,6521210,24198610
960000,18148370,20186090,101202520,7459070,25497900
